Category Id,HSN/SAC ,Category,CGST,SGST,IGST
2833,7204,"Ferrous † waste †    and † scrap; † remelting †    scrap
      ingots of iron or steel",9%,9%,18%
2834,7205,"Granules † † † and † † †    powders, † † † of † † † pig † † †    iron, spiegeleisen, iron or steel",9%,9%,18%
2835,7206,"Iron    and non-alloy steel in ingots or other primary † forms †    (excluding † iron † of †    heading
      7203)",9%,9%,18%
2836,7207,"Semi-finished † † products †    of † † iron † or † †    non-
      alloy steel",9%,9%,18%
2837,7208    to 7212,"All † flat-rolled †    products † of † iron †    or † non-
      alloy steel",9%,9%,18%
2838,7213    to 7215,"All    bars and rods, of iron or non-alloy steel",9%,9%,18%
2839,7216,"Angles,    shapes and sections of iron or non-
      alloy steel",9%,9%,18%
2840,7217,Wire    of iron or non-alloy steel,9%,9%,18%
2841,7218,"Stainless † steel †    in † ingots † or †    other † primary forms; † semi-finished † products †    of † stainless
      steel",9%,9%,18%
2842,"7219,    7220",All    flat-rolled products of stainless steel,9%,9%,18%
2843,"7221,    7222","All    bars and rods, of stainless steel",9%,9%,18%
2844,7223,Wire    of stainless steel,9%,9%,18%
2845,7224,"Other    alloy steel in ingots or other primary forms; † † semi-finished † † products † †    of † † other
      alloy steel",9%,9%,18%
2846,"7225,    7226",All    flat-rolled products of other alloy steel,9%,9%,18%
2847,"7227,    7228",All    bars and rods of other alloy steel.,9%,9%,18%
2848,7229,Wire    of other alloy steel,9%,9%,18%
2849,7301,"Sheet    piling of iron or steel, whether or not drilled, † punched †    or † made † from assembled elements; † † † welded † † †    angles, † † † shapes † † † and
      sections, of iron or steel",9%,9%,18%
2850,7302,"Railway † † or † †    tramway † † track † † construction material † of †    iron † or † steel, †    the † following: rails, † † check-rails † † and † †    rack † † rails, † † switch blades, crossing frogs, point rods    and other crossing † pieces, † sleepers (cross-ties), † fish- plates, † chairs, †    chair † wedges, † sole †    plates (base † plates), † rail clips bedplates, † ties and
      other † material † specialized †    for † jointing † or fixing rails",9%,9%,18%
2851,7303,"Tubes, † pipes †    and † hollow † profiles, †    of † cast
      iron",9%,9%,18%
2852,7304,"Tubes, † † † † pipes † † † †    and † † † † hollow † † † † profiles, seamless, † of iron (other † than cast †    iron) † or
      steel",9%,9%,18%
2853,7305,"Other † † tubes † †    and † † pipes † † (for † †    example, welded, † † † riveted † † † or † † †    similarly † † † closed),having    circular cross Äësections, the external diameter † of †    which † exceeds † 406.4 †    mm, † of
      iron or steel",9%,9%,18%
2854,7306,"Other    tubes, pipes and hollow profiles (for example, open seam or welded, riveted    or
      similarly closed), of iron or steel",9%,9%,18%
2855,7307,"Tube † † † or † † †    pipe † † † fittings † † † (for † † †    example,
      couplings, elbows, sleeves), of iron or steel",9%,9%,18%
2856,7308,"Structures † † † † † † (excluding † † † † † † prefabricated buildings † of †    heading † 94.06) † and †    parts † of structures (for    example, bridges and bridge
       Äësections, lock Äëgates, towers, lattice masts, roofs, † † roofing † †    frame  Äë works, † † doors † † and windows † and †    their † frames † and †    thresholds for doors, and shutters, balustrades, pillars, and    columns), of iron or steel; plates, rods, angles, shapes, section, tubes and    the like,
      prepared † for † using †    structures, † of † iron †    or steel [other than transmission towers]",9%,9%,18%
2857,7309,"Reservoirs, † † † † tanks, † † † † vats † † † †    and † † † † similar containers † † for † †    any † † material † (other † †    than compressed † or † liquefied †    gas), † of † iron †    or steel, † † of † † a † †    capacity † † exceeding † † 300 † †    l, whether or not lined or heat-insulated, but not † † fitted † †    with † † mechanical † † or † †    thermal
      equipment",9%,9%,18%
2858,7310,"Tanks, † † casks, † †    drums, † † cans, † † boxes † †    and similar † containers, † for †    any † material (other than    compressed or liquefied gas), of iron or steel, of a capacity not exceeding    300 l, whether or not lined or heat-insulated, but

      not † † fitted † † with † †    mechanical † † or † † thermal equipment",9%,9%,18%
2859,7311,"Containers † † for † †    compressed † † or † † liquefied
      gas, of iron or steel",9%,9%,18%
2860,7312,"Stranded    wire, ropes, cables, plaited bands,
      slings † and † the †    like, † of † iron †    or † steel, † not electrically insulated",9%,9%,18%
2861,7313,"Barbed    wire of iron or steel; twisted hoop or †    single † † flat † † wire, † †    barbed † or † not, †    and
      loosely twisted double wire, of a kind used for fencing, of iron or steel",9%,9%,18%
2862,7314,"Cloth † † (including † † endless † †    bands), † † grill,
      netting † and † fencing, †    of † iron † or †    steel wire;expanded metal of iron or steel",9%,9%,18%
2863,7315,"Chain † and †    parts † thereof, † of †    iron † or † steel falling under 7315 20, 7315 81, 7315,    82,
      7315 89, 7315 90",9%,9%,18%
2864,7316,"Anchors, † grapnels †    and † parts † thereof, †    of
      iron or steel",9%,9%,18%
2865,7317,"Nails, † † tacks, † †    drawing † † pins, † † corrugated nails, † staples (other than those † of †    heading 8305) and similar articles, of iron or steel, whether † † or † †    not † † with † † heads † †    of † † other material, † but †    excluding † such † articles †    with
      heads of copper",9%,9%,18%
2866,7318,"Screws, † bolts, †    nuts, † coach † screws, †    screw hooks, † rivets, † cotters, †    cotter-pins, † washers    (including † † spring † † washers) † †    and † † similar
      articles, of iron or steel",9%,9%,18%
2867,7319,"knitting †    needles, † bodkins, † crochet hooks, † † embroidery † † stilettos † †    and † † similar articles, † for †    use † in † the †    hand, † of † iron †    or
      steel; safety pins and other pins of iron or steel, not elsewhere specified    or included",9%,9%,18%
2868,7320,"Springs    and leaves for springs, of iron and
      steel",9%,9%,18%
2869,7321,"Stoves, ranges,    grates, cookers (including those †    with † subsidiary † boilers †    for † central heating), † † barbecues, † † braziers, † †    gas-rings, plate † † warmers † † and † †    similar † † non-electric    domestic † appliances, † and †    parts thereof, † of iron or steel    [other than Kerosene burners, kerosene †    stoves † and † wood †    burning † stoves
      of iron or steel",9%,9%,18%
2870,7322,"Radiators † † † † for † † † †    central † † † † heating, † † † † not electrically † heated, †    and † parts † thereof, †    of iron † or † steel; †    air † heaters † and †    hot † air † 20 distributors † (including †    distributors † which can † also †    distribute † fresh † or †    conditioned air), not electrically heated, incorporating a motor-driven † † fan † †    or † † blower, † † and † †    parts
      thereof, of iron or steel",9%,9%,18%
2871,7323,"Iron † † or † †    steel † † wool; † † pot † †    scourers † † and
      scouring or polishing pads, gloves and the like, of iron or steel",9%,9%,18%
2872,7323    9410,Ghamella,9%,9%,18%
2873,7324,"Sanitary † ware †    and † parts † thereof, †    of † iron
      and steel",9%,9%,18%
2874,7325,Other    cast articles of iron or steel,9%,9%,18%
2875,7326,Other    articles of iron or steel,9%,9%,18%
2876,7401,"Copper † † † † † † † mattes; † † † † † † † cement † † † † † † † copper
      (precipitated copper)",9%,9%,18%
2877,7402,"Unrefined † † † copper; † † †    copper † † † anodes † † † for
      electrolytic refining",9%,9%,18%
2878,7403,"Refined † † † † copper † † † † and † † † †    copper † † † † alloys,
      unwrought",9%,9%,18%
2879,7404,Copper    waste and scrap,9%,9%,18%
2880,7405,Master    alloys of copper,9%,9%,18%
2881,7406,Copper    powders and flakes,9%,9%,18%
2882,7407,"Copper    bars, rods and profiles",9%,9%,18%
2883,7408,Copper    wire,9%,9%,18%
2884,7409,"Copper † † plates, † †    sheets † † and † † strip, † †    of † † a
      thickness exceeding † † 0.15 mm",9%,9%,18%
2885,7410,Copper    foils,9%,9%,18%
2886,7411,Copper    tubes and pipes,9%,9%,18%
2887,7412,"Copper    tube or pipe † fittings (for    example,
      couplings, elbows, sleeves)",9%,9%,18%
2888,7413,Stranded    wires and cables,9%,9%,18%
2889,7415,"Nails, † tacks, †    drawing † pins, † staples †    (other than † those † of †    heading † 83.05) † and †    similar articles, † of copper or    of iron or steel with heads of copper; screws, bolts, nuts, screw hooks, † rivets, †    cotters, † cotter-pins, † washers (including † † spring † †    washers) † † and † † similar
      articles, of copper",9%,9%,18%
2890,7418,"All † goods †    [other † than † table, †    kitchen † or other † † † † household † † † articles † † † of † † †    copper;
      Utensils]",9%,9%,18%
2891,7419,"Other    articles of copper other than Brass
      Kerosene Pressure Stove",9%,9%,18%
2892,7501,"Nickel † mattes, † †    nickel † oxide † sinters †    and
      other † † † intermediate † † † products † †    of † † nickel metallurgy",9%,9%,18%
2893,7502,Unwrought    nickel,9%,9%,18%
2894,7503,Nickel    waste and scrap,9%,9%,18%
2895,7504,Nickel    powders and flakes,9%,9%,18%
2896,7505,"Nickel    bars, rods, profiles and wire",9%,9%,18%
2897,7506,"Nickel    plates, sheets, strip and foil",9%,9%,18%
2898,7507,"Nickel † † tubes, † †    pipes † † and † † tube † †    or † † pipe fittings † (for †    example, † couplings, † elbows,
      sleeves)",9%,9%,18%
2899,7508,Other    articles of nickel,9%,9%,18%
2900,7601,Unwrought    Aluminium,9%,9%,18%
2901,7602,Aluminium    waste and scrap,9%,9%,18%
2902,7603,Aluminium    powders and flakes,9%,9%,18%
2903,7604,"Aluminium    bars, rods and profiles",9%,9%,18%
2904,7605,Aluminium    wire,9%,9%,18%
2905,7606,"Aluminium † plates, †    sheets † and † strip, †    of † a
      thickness exceeding 0.2 mm",9%,9%,18%
2906,7607,"Aluminium    foil (whether or not printed or backed with paper, paperboard, plastics or    similar † backing † materials) †    of † a † thickness (excluding any backing) not    exceeding 0.2
      mm",9%,9%,18%
2907,7608,Aluminium    tubes and pipes,9%,9%,18%
2908,7609,"Aluminium † † tube † †    or † † pipe † † fittings † †    (for
      example, couplings, elbows, sleeves)",9%,9%,18%
2909,7610,"Aluminium † † † † † † † † structures † † † † † † † † (excluding prefabricated † buildings †    of † heading † 9406) and † †    parts † † of † † structures † † (for † †    example, bridges and bridge-sections, towers, lattice masts, † † † † † roofs, † † † † † roofing † † † † † frameworks, balustrades, † † † † † pillars † † † † † and † † † † †    columns); aluminium plates, rods, profiles, tubes and
      the like, prepared for use in structures",9%,9%,18%
2910,7611,"Aluminium † † reservoirs, † † tanks, † †    vats † † and similar † containers, †    for † any † material (other than † compressed †    or † liquefied † gas), †    of † a capacity † exceeding †    300 † l, † whether †    or † not
      lined † or heat-insulated, † but †    not † fitted † with mechanical or thermal equipment",9%,9%,18%
2911,7612,"Aluminium    casks, drums, cans, boxes, etc.",9%,9%,18%
2912,7613,"Aluminium † containers †    for † compressed † or
      liquefied gas",9%,9%,18%
2913,7614,"Stranded    wires, cables, plaited bands and
      the † † like, † † of † †    aluminium, † † not † † electrically insulated",9%,9%,18%
2914,7615,"All † goods †    [other † than † table, †    kitchen † or other † † household † †    articles, † † of † † aluminium;
      Utensils]",9%,9%,18%
2915,7616,Other    articles of aluminium,9%,9%,18%
2916,7801,Unwrought    lead,9%,9%,18%
2917,7802,Lead    waste and scrap,9%,9%,18%
2918,7804,"Lead † plates, †    sheets, † strip † and †    foil; † lead
      powders and flakes",9%,9%,18%
2919,7806,"Other † articles †    of † lead † (including †    sanitary
      fixtures and Indian lead seals)",9%,9%,18%
2920,7901,Unwrought    zinc,9%,9%,18%
2921,7902,Zinc    waste and scrap,9%,9%,18%
2922,7903,"Zinc    dust, powders and flakes",9%,9%,18%
2923,7904,"Zinc    bars, rods, profiles and wire",9%,9%,18%
2924,7905,"Zinc    plates, sheets, strip and foil",9%,9%,18%
2925,7907,"Other † articles †    of † zinc † including †    sanitary
      fixtures",9%,9%,18%
2926,8001,Unwrought    tin,9%,9%,18%
2927,8002,Tin    waste and scrap,9%,9%,18%
2928,8003,"Tin    bars, rods, profiles and wire",9%,9%,18%
2929,8007,Other    articles of tin,9%,9%,18%
2930,8101    to 8112,"Other † † base † †    metals, † † namely, † † Tungsten, Molybdenum, † † † † Tantalum, † † † † Magnesium, Cobalt † † mattes, † † † †    and † † other † † intermediate products † of †    cobalt † † metallurgy, † Bismuth, Cadmium, † † † † † † † † † Titanium, † † † † † † † † † Zirconium, Antimony, † † † † † † † Manganese, † † † † † † † Beryllium, chromium, † † † † † † † germanium, † † † † † † † vanadium, gallium, † † † † hafnium, † † † † indium, † † † † niobium (columbium), † rhenium †    and † thallium, † and
      articles thereof, including waste and scrap",9%,9%,18%
2931,8113,"Cermets † † and † †    articles † † thereof, † † including waste and scrap",9%,9%,18%
2932,8202,"Hand † saws; †    blades † for † saws †    of † all † kinds (including † † slitting, † †    slotting † † or † † toothless
      saw blades)",9%,9%,18%
2933,8203,"Files, † † † rasps, † † †    pliers † † † (including † † † cutting
      pliers), † † pincers, † † tweezers, † †    metal † cutting shears, † † † † † pipe-cutters, † † † † † bolt † † † † † croppers, perforating punches and    similar hand tools",9%,9%,18%
2934,8204,"Hand-operated † † † spanners † † † and † † †    wrenches (including † torque † meter †    wrenches † but † not including † tap †    wrenches); †    interchangeable
      spanner sockets, with or without handles",9%,9%,18%
2935,8205,"Hand    tools (including glaziers' diamonds), not †    elsewhere † specified † or †    included; † blow lamps; † vices, †    clamps † and † the †    like, † other than accessories    for and parts of, machine- tools or water-jet cutting machines; anvils;    portable † † forges; † † hand † †    or † † pedal-operated
      grinding wheels with frameworks",9%,9%,18%
2936,8206,"Tools    of two or more of the headings 8202
      to 8205, put up in sets for retail sale",9%,9%,18%
2937,8207,"Interchangeable † † † tools † † †    for † † † hand † † † tools, whether † † or † †    not † † power-operated, † † or † †    for machine-tools † (for † example, †    for † pressing, stamping, † † punching, † †    tapping, † † threading,    drilling, † † † † boring, † † † † broaching, † † † † milling, turning † or †    screw † driving), † including †    dies for † drawing † or †    extruding † metal, † and †    rock
      drilling or earth boring tools",9%,9%,18%
2938,8208,"Knives    and cutting blades, for machines or
      for mechanical appliances",9%,9%,18%
2939,8209,"Plates, † sticks, †    tips † and † the †    like † for † tools, unmounted, of cermets",9%,9%,18%
2940,8210    00 00,"Hand-operated † † † † mechanical † † † † appliances, weighing † † 10 † †    kg † † or † † less, † †    used † † in † † the preparation, † † conditioning † † or † †    serving † † of
      food or drink",9%,9%,18%
2941,8211,"Knives    with cutting blades, serrated or not (including pruning knives), other than    knives of heading 8208, and blades therefor",9%,9%,18%
2942,8212,Razors † and †    razor † blades † (including †    razor blade blanks in strips),9%,9%,18%
2943,8213    00 00,"Scissors,    tailors' shears and similar shears,
      and blades therefor",9%,9%,18%
2944,8214,"Other    articles of cutlery (for example, hair clippers, † † butchers' † †    or † † kitchen † † cleavers, choppers † and †    mincing † knives,); † manicure or pedicure sets and instruments    (including nail files) [other than pencil sharpeners]",9%,9%,18%
2945,8215,"Spoons,    forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar    tongs and similar kitchen or tableware",9%,9%,18%
2946,8301,"Padlocks † and †    locks † (key, † combination †    or
      electrically operated), of base metal; clasps and † † frames † †    with † † clasps, † † incorporating
      locks, † of † base †    metal; † keys † for †    any † of † the foregoing articles, of base metal",9%,9%,18%
2947,8302,"Base    metal mountings, fittings and similar articles † † † suitable † † † for † † †    furniture, † † † doors, staircases, † † windows, † †    blinds, † † coachwork, saddlery,    trunks, chests, caskets or the like; base metal hatracks, hat-pegs, brackets    and similar fixtures; castors with mountings of base metal; automatic door    closers of base
      metal",9%,9%,18%
2948,8303,"Armoured † † or † †    reinforced † † safes, † † strong- boxes † and †    doors † and † safe †    deposit † lockers for † strong-rooms, † cash †    or † deed † boxes †    and
      the like, of base metal",9%,9%,18%
2949,8304,"Filing    cabinets, card-index cabinets, paper trays, †    paper † rests, † pen †    trays, † office-stamp stands † † † † and † † † †    similar † † † † office † † † † or † † † †    desk equipment, of base metal, other than office
      furniture of heading 9403",9%,9%,18%
2950,8305,"Fittings † † for † †    loose-leaf † † binders † † or † †    files, letter † † clips, † † letter † †    corners, † † paper † † clips, indexing tags and similar office    articles, of base † metal; † staples †    in † strips (for † example, for offices, upholstery,    packaging), of base
      metal",9%,9%,18%
2951,8307,"Flexible † † tubing † †    of † base † † metal, † †    with † or
      without fittings",9%,9%,18%
2952,8308,"Clasps, † † † frames † † †    with † † † clasps, † † † buckles, buckle-clasps, hooks, eyes,    eyelets and the like, † of † base †    metal, † of † a †    kind † used † for clothing or clothing accessories,    footwear, jewellery, † wrist † watches, †    books, † awnings, leather † goods, travel goods or saddlery or for † † other † †    made † † up † † articles; † †    tubular † † or
      bifurcated rivets, of base metal; beads and spangles, of base metal",9%,9%,18%
2953,8309,"Stoppers, † caps †    and † lids † (including †    crown corks, † screw † caps †    and † pouring † stoppers),
      capsules for bottles, threaded bungs, bung covers, † † † † † seals † † † † † and † † † † †    other † † † † † packing
      accessories, of base metal",9%,9%,18%
2954,8310,"Sign-plates, † † † name-plates, † † † address-plates and † similar †    plates, † numbers, † † letters †    and other † symbols, † of †    base † metal, † excluding
      those of heading 9405",9%,9%,18%
2955,8311,"Wire, † rods, †    tubes, † plates, † electrodes †    and similar products, of base metal or of metal carbides, † † † coated † † †    or † † † cored † † † with † † †    flux material, † † of † a † †    kind † † used † † for † †    soldering, brazing, welding or deposition of metal or of † † metal † †    carbides; † † wire † † and † †    rods, † † of agglomerated base    metal powder, used for
      metal spraying",9%,9%,18%
2956,84,"Parts    suitable † for use † solely or principally
      with fixed Speed Diesel Engines of power not exceeding 15HP",9%,9%,18%
2957,84    or 85,"Parts    suitable † for use † solely or principally with † † † power † † †    driven † † † pumps † † † primarily designed † † † for † †    handling † † water, † † namely, centrifugal † † † † † pumps( † † † † † horizontal † † † † † and vertical), † deep †    tube-well † turbine † pumps, submersible † pumps, †    axial flow † and † mixed
      flow vertical pumps",9%,9%,18%
2958,8401,"Nuclear    reactors; machinery and apparatus
      for isotopes separation",9%,9%,18%
2959,8402,"Steam † or †    other † vapour † generating †    boilers (other † † than † † central † †    heating † † hot † † water boilers † † capable † †    also † † of † † producing † †    low pressure † † † † steam); † † † † super-heated † † † † water
      boilers",9%,9%,18%
2960,8403,"Central    heating boilers other than those of
      heading 8402",9%,9%,18%
2961,8404,"Auxiliary † plant † †    for † † use † with †    boilers † of heading † † 8402 † †    or † † 8403 † † (for † †    example, economisers, super-heaters, soot removers,
      gas † recoverers); † condensers †    for † steam † or other vapour power units",9%,9%,18%
2962,8405,"Producer    gas or water gas generators, with or †    without † their † purifiers; †    acetylene † gas generators † and †    similar † water † process †    gas
      generators, with or without their purifiers",9%,9%,18%
2963,8406,Steam    turbines and other vapour turbines,9%,9%,18%
2964,,,9%,9%,18%
2965,8410,"Hydraulic † † turbines, † †    water † † wheels, † † and
      regulators therefor",9%,9%,18%
2966,8411,"Turbo-jets,    turbo-propellers and other gas
      turbines [other than aircraft engines]",9%,9%,18%
2967,8412,"Other † † † engines † † †    and † † † motors † † † (Reaction engines † other †    than † turbo † jets, †    Hydraulic power † † engines † † and † †    motors, † † Pneumatic
      power † engines † and †    motors, † other, † parts) [other than wind turbine or engine]",9%,9%,18%
2968,8413," Äú(a)    Concrete pumps [8413 40 00]; (b) other rotary positive displacement pumps    [8413 60]; (c) Power driven pumps primarily designed for handling water,    namely, centrifugal pumps (horizontal and vertical), deep tube-well turbine    pumps, submersible pumps, axial flow and mixed flow vertical pumps",9%,9%,18%
2969,8414,"Air † or †    vacuum † pumps, † air †    or † other † gas compressors † † † and † † †    fans; † † † ventilating † † † or recycling † † † hoods † † †    incorporating † † † a † † † fan, whether or not fitted with filters;    Gas-tight biological † safety † cabinets, †    whether † or † not fitted † †    with † † filters † † [other † †    than † † bicycle pumps, other hand    pumps and parts of air or † † vacuum † † pumps † †    and † † compressors † † of
      bicycle pumps",9%,9%,18%
2970,8414    20 10,Bicycle    pumps,9%,9%,18%
2971,8414    90 12,Parts    of air or vacuum pumps and compressors of bicycle pumps,9%,9%,18%
2972,8416,"Furnace † † † burners † † †    for † † † liquid † † † fuel, † † †    for pulverised † † † † solid † † † † fuel † † † †    or † † † † for † † † † gas; mechanical † † † † stokers, † † † † including † † † † their
      mechanical † † † † † grates, † † † † † mechanical † † † † † ash dischargers and similar appliances",9%,9%,18%
2973,8417,"Industrial † † † or † † †    laboratory † † † furnaces † † † and
      ovens, including incinerators, non-electric",9%,9%,18%
2974,8418,"Refrigerators, † † † † † † freezers † † † † † † and † † † † † † other refrigerating † † † † or † † † †    freezing † † † † equipment, electric    or other; heat pumps other than air
      conditioning machines of heading 8415",9%,9%,18%
2975,"8419    other than
      8419 12","Machinery,    plant or laboratory equipment, whether † † † †    or † † † † not † † † † electrically † † † † heated (excluding † † † furnaces, † † † ovens † † †    and † † † other equipment † † of † †    heading † † 8514), † † for † †    the treatment † † † of † † † materials † † † by † † †    a † † † process involving a change    of temperature such as heating, † † † †    cooking, † † † † roasting, † † † † distilling,
      rectifying, † † † † † † † sterilising, † † † † † † † pasteurising, steaming, † drying, †    evaporating, † vaporising,    condensing † † † † or † † † † cooling, † † † † other † † † †    than machinery † or † † plant †    of † a † kind †    used † for domestic † † † † purposes; † † † † instantaneous † † † † or
      storage † water † heaters, †    non-electric † [other than Solar    water heater and system]",9%,9%,18%
2976,8420,"Calendering † or †    other † rolling † machines, other † † than † † †    for † † † metals † † or † † †    glass, † † † and cylinders † † † therefor † † † [other † † †    than † † † Hand
      operated rubber roller]",9%,9%,18%
2977,8421,"Centrifuges, † including †    centrifugal † dryers;    filtering † † † or † † † purifying † † † machinery † † † and
      apparatus, for liquids or gases",9%,9%,18%
2978,"8422    20 00, 8422 30 00, 8422 40 00, 842290 †    other than 8422 11 00,8422 19 00","Machinery † for †    cleaning † or † drying †    bottles or other †    containers; † machinery † for †    filling, closing, † sealing † or †    labelling † bottles, † cans, boxes, bags or other containers;    machinery for † † capsuling † † bottles, † †    jars, † † tubes † † and similar † † † containers; † † † other † † †    packing † † † or wrapping † † † machinery † † † (including † † † heat- shrink † † wrapping † †    machinery); † † machinery for † † aerating † †    beverages † † [other † † than †    dish washing machines]",9%,9%,18%
2979,8423,"Weighing    machinery (excluding balances of a sensitivity of 5 centigrams or † better), including † † weight † †    operated † † counting † † or
      checking † † † machines; † † weighing † † †    machine weights of all kinds",9%,9%,18%
2980,8424,"Mechanical † appliances †    (whether † or † not hand-operated) † for †    projecting, † dispersing or † † † spraying † † † liquids † † †    or † † † powders; † † † fire extinguishers, † † whether † †    or † † not † † charged; spray † guns †    and † similar † appliances; †    steam or † sand † blasting †    machines † and † similar †    jet projecting machines [other than sprinklers; drip † irrigation †    systems † including † laterals; mechanical † † † sprayer; † † † nozzles † † †    for † † † drip irrigation † † † equipment † † † or † † †    nozzles † † † for
      sprinklers",9%,9%,18%
2981,8425,"Pulley † tackle †    and † hoists † other †    than † skip
      hoists; winches and capstans; jacks",9%,9%,18%
2982,8426,"Ship Äôs † † derricks; † †    cranes † † including † † cable cranes; † † mobile † †    lifting † † frames, † † straddle carriers † and †    works † trucks † fitted †    with † a
      crane",9%,9%,18%
2983,8427,"Fork-lift † trucks; †    other † works † trucks †    fitted
      with lifting or handling equipment",9%,9%,18%
2984,8428,"Other † † † † lifting, † † † † handling, † † † † loading † † † † or
      unloading † machinery † (for †    example, † lifts, escalators,    conveyors, teleferics)",9%,9%,18%
2985,8429,"Self-propelled † † † bulldozers, † † † angledozers, graders, † † levellers, † † scrapers, † †    mechanical shovels, † † † †    excavators, † † † † shovel † † † † loaders,
      tamping machines and road rollers",9%,9%,18%
2986,8430,"Other    moving, grading, levelling, scraping, excavating, † † † † † † † † tamping, † † † † † † † † compacting, extracting † or †    boring † machinery, † for †    earth, minerals † † or † † ores; † †    piledrivers † † and † † pile-
      extractors; snow-ploughs and snowblowers",9%,9%,18%
2987,8431,"Parts    suitable † for use † solely or †    principally
      with † the † machinery †    of † headings † 8425 †    to 8430",9%,9%,18%
2988,8433,"Machines    for cleaning, sorting or grading eggs, fruit or other agricultural
      produce, other than machinery of heading 8437; parts thereof [8433 90 00]",9%,9%,18%
2989,8434,Milking    machines and dairy machinery Äù;,9%,9%,18%
2990,8435,"Presses, † crushers †    and † similar † † machinery
      used † in † the †    manufacture † of † wine, †    cider, fruit juices or similar beverages",9%,9%,18%
2991,8437,"Machines    for cleaning, sorting or grading, seed, grain or dried leguminous
      vegetables; machinery used in milling industry or for the working of    cereals
      or dried leguminous vegetables other than farm type machinery and    parts
      thereof",9%,9%,18%
2992,8438,"Machinery, † † not † †    specified † † or † † included elsewhere in this Chapter, for    the industrial preparation † † or † † manufacture † † of † †    food † † or drink, † † † other † † †    than † † † machinery † † † for † † †    the extraction † † or † † preparation † † of † †    animal † † or
      fixed vegetable or microbial fats or oils",9%,9%,18%
2993,8439,"Machinery † † for † †    making † † pulp † † of † †    fibrous cellulosic † † †    material † † or † † † for † † †    making † † † or
      finishing paper or paperboard",9%,9%,18%
2994,8440,"Book-binding † machinery, †    including † book-
      sewing machines",9%,9%,18%
2995,8441,"Other † † machinery † †    for † † making † † up † †    paper
      pulp, † † † paper † † † or † † †    paperboard, † † † including cutting    machines of all kinds",9%,9%,18%
2996,8442,"Machinery, † † † apparatus † † † and † † †    equipment (other than the machines of headings 8456 to † 8465) †    for † preparing † or †    making † plates,
      printing components; plates, cylinders and lithographic † stones, †    prepared † for † printing
      purposes (for † example, † planed, †    grained † or polished)",9%,9%,18%
2997,8443,"Printing † machinery †    used † for † printing †    by means † † of † † plates, † †    cylinders † † and † † other printing † † components † † of † †    heading † † 8442; other † † † printers, † † † copying † † †    machines † † and facsimile † † † machines, † † † whether † † †    or † † † not
      combined; parts and accessories thereof",9%,9%,18%
2998,8444,"Machines    for extruding, drawing, texturing
      or cutting man-made textile materials",9%,9%,18%
2999,8445,"Machines † † for † †    preparing † † textile † † † fibres; spinning, † doubling †    or † twisting † machines and † other †    machinery for † producing † textile yarns; textile reeling or winding    (including weft-winding) † machines    and † machines for preparing † † textile † †    yarns † † for † † use † †    on † † the
      machines of heading 8446 or 8447",9%,9%,18%
3000,8446,Weaving    machines (looms),9%,9%,18%
3001,8447,"Knitting † † † † † † † machines, † † † † † † † stitch-bonding machines † † † and † † †    machines † † † for † † † making gimped † † † yarn, † † †    tulle, † † † lace, † † † embroidery, trimmings, † braid †    or † net † and †    machines † for
      tufting",9%,9%,18%
3002,8448,"Auxiliary † † † † machinery † † † † for † † † †    use † † † † with machines † of †    heading † 84.44, † 84.45, †    84.46 or 84.47 (for example, dobbies, Jacquards, automatic † stop †    motions, † shuttle † changing mechanisms); † † † † parts † † † †    and † † † † accessories    suitable † for † use †    solely † or † principally †    with the machines of this heading or of heading 8444, † 8445,8446 †    or † 8447 † (for †    example, spindles and spindles flyers, card clothing, combs, † extruding †    nipples, † shuttles, † healds
      and heald frames, hosiery needles)",9%,9%,18%
3003,8449,"Machinery † † † † for † † † †    the † † † † manufacture † † † † or finishing of felt or nonwovens in the    piece or † † in † † shapes, † †    including † † machinery † † for
      making felt hats; blocks for making hats",9%,9%,18%
3004,8450,"Household † † † † or † † † †    laundry-type † † † † washing
      machines, † including † machines which † both wash and dry",9%,9%,18%
3005,8451,"Machinery † † † (other † † †    than † † † machines † † † of heading † † 8450) † † †    for † † washing, † † cleaning, wringing, † † † † † drying, † † † † † ironing, † † † † † pressing (including † † † fusing † † †    presses), † † † bleaching, dyeing, † † dressing, † †    finishing, † † coating † † or impregnating textile yarns, fabrics or    made up † † † textile † † † articles † † † and † † †    machines † † † for applying † the †    paste † to † the †    base † fabric † or other †    support † used † in †    the † manufacture † of floor covering such as linoleum;    machines
      for † reeling, † unreeling, †    folding, † cutting † or pinking textile fabrics",9%,9%,18%
3006,8453,"Machinery † † † for † † †    preparing, † † † tanning † † † or working † † hides, † †    skins † † or † † leather † †    or † † for making † † or † †    repairing † † footwear † † or † †    other articles † of † hides, †    skins † or † leather, †    other
      than sewing machines",9%,9%,18%
3007,8454,"Converters, † † † ladles, † † †    ingot † † † moulds † † † and
      casting † † machines, † † of † †    a † † kind † † used † †    in metallurgy or in metal foundries",9%,9%,18%
3008,8455,Metal-rolling    mills and rolls therefor,9%,9%,18%
3009,8456,"Machine-tools    for working any material by removal of material, by laser or other light    or † † † photon † † † beam, † † †    ultrasonic, † † † electro-
      discharge, † † † † †    electro-chemical, † † † † † electron    beam, ionic-beam or plasma arc processes",9%,9%,18%
